排名,英文,語料次數,頻率層,詞性,中文,學習優先度,類型,過去式,過去分詞,不規則,筆記
7679,callus,10,04｜擴充,,,B 擴充,,,,,
7680,captivity,10,04｜擴充,,,B 擴充,,,,,
7681,carcinoma,10,04｜擴充,,,B 擴充,,,,,
7682,caressing,10,04｜擴充,,,B 擴充,,,,,
7683,carpenters,10,04｜擴充,,,B 擴充,,,,,
7684,cartilages,10,04｜擴充,,,B 擴充,,,,,
7685,casually,10,04｜擴充,,,B 擴充,,,,,
7686,cat,10,04｜擴充,n.,貓,A 基礎必會,名詞,—,—,—,
7687,catholic,10,04｜擴充,,,B 擴充,,,,,
7688,catiche,10,04｜擴充,,,B 擴充,,,,,
7689,cautious,10,04｜擴充,,,B 擴充,,,,,
7690,champagne,10,04｜擴充,,,B 擴充,,,,,
7691,charcoal,10,04｜擴充,,,B 擴充,,,,,
7692,cheered,10,04｜擴充,,,B 擴充,,,,,
7693,chichagov,10,04｜擴充,,,B 擴充,,,,,
7694,choking,10,04｜擴充,,,B 擴充,,,,,
7695,cited,10,04｜擴充,,,B 擴充,,,,,
7696,clamor,10,04｜擴充,,,B 擴充,,,,,
7697,clots,10,04｜擴充,,,B 擴充,,,,,
7698,cocci,10,04｜擴充,,,B 擴充,,,,,
7699,cocked,10,04｜擴充,,,B 擴充,,,,,
7700,colleagues,10,04｜擴充,,,B 擴充,,,,,
7701,combine,10,04｜擴充,v.,結合,B 中高級核心,動詞,combined,combined,否,
7702,comet,10,04｜擴充,,,B 擴充,,,,,
7703,comforted,10,04｜擴充,,,B 擴充,,,,,
7704,comment,10,04｜擴充,n.,評論,A 基礎必會,名詞,—,—,—,
7705,commodore,10,04｜擴充,,,B 擴充,,,,,
7706,composure,10,04｜擴充,,,B 擴充,,,,,
7707,compulsory,10,04｜擴充,,,B 擴充,,,,,
7708,concealing,10,04｜擴充,,,B 擴充,,,,,
7709,concentration,10,04｜擴充,n.,專心；濃度,A 基礎必會,名詞,—,—,—,
7710,congested,10,04｜擴充,,,B 擴充,,,,,
7711,conjecture,10,04｜擴充,,,B 擴充,,,,,
7712,connecting,10,04｜擴充,,,B 擴充,,,,,
7713,conservatory,10,04｜擴充,,,B 擴充,,,,,
7714,considers,10,04｜擴充,,,B 擴充,,,,,
7715,contemporary,10,04｜擴充,,,B 擴充,,,,,
7716,contests,10,04｜擴充,,,B 擴充,,,,,
7717,convert,10,04｜擴充,,,B 擴充,,,,,
7718,corns,10,04｜擴充,,,B 擴充,,,,,
7719,cornwallis,10,04｜擴充,,,B 擴充,,,,,
7720,corpus,10,04｜擴充,,,B 擴充,,,,,
7721,corrupt,10,04｜擴充,,,B 擴充,,,,,
7722,corruption,10,04｜擴充,,,B 擴充,,,,,
7723,costly,10,04｜擴充,,,B 擴充,,,,,
7724,counsel,10,04｜擴充,,,B 擴充,,,,,
7725,couples,10,04｜擴充,,,B 擴充,,,,,
7726,covers,10,04｜擴充,,,B 擴充,,,,,
7727,coveted,10,04｜擴充,,,B 擴充,,,,,
7728,crazy,10,04｜擴充,,,B 擴充,,,,,
7729,crowned,10,04｜擴充,,,B 擴充,,,,,
7730,crust,10,04｜擴充,,,B 擴充,,,,,
7731,cuban,10,04｜擴充,,,B 擴充,,,,,
7732,curls,10,04｜擴充,,,B 擴充,,,,,
7733,curving,10,04｜擴充,,,B 擴充,,,,,
7734,david,10,04｜擴充,,,B 擴充,,,,,
7735,deacon,10,04｜擴充,,,B 擴充,,,,,
7736,deaf,10,04｜擴充,,,B 擴充,,,,,
7737,debilitated,10,04｜擴充,,,B 擴充,,,,,
7738,deception,10,04｜擴充,,,B 擴充,,,,,
7739,defensive,10,04｜擴充,,,B 擴充,,,,,
7740,delicious,10,04｜擴充,,,B 擴充,,,,,
7741,deny,10,04｜擴充,,,B 擴充,,,,,
7742,des,10,04｜擴充,,,B 擴充,,,,,
7743,descend,10,04｜擴充,,,B 擴充,,,,,
7744,destination,10,04｜擴充,,,B 擴充,,,,,
7745,dew,10,04｜擴充,,,B 擴充,,,,,
7746,diam,10,04｜擴充,,,B 擴充,,,,,
7747,differed,10,04｜擴充,,,B 擴充,,,,,
7748,diminution,10,04｜擴充,,,B 擴充,,,,,
7749,disguise,10,04｜擴充,,,B 擴充,,,,,
7750,disinfection,10,04｜擴充,,,B 擴充,,,,,
7751,disk,10,04｜擴充,,,B 擴充,,,,,
7752,distressed,10,04｜擴充,,,B 擴充,,,,,
7753,distressing,10,04｜擴充,,,B 擴充,,,,,
7754,districts,10,04｜擴充,,,B 擴充,,,,,
7755,diverted,10,04｜擴充,,,B 擴充,,,,,
7756,dominance,10,04｜擴充,,,B 擴充,,,,,
7757,domingo,10,04｜擴充,,,B 擴充,,,,,
7758,donation,10,04｜擴充,,,B 擴充,,,,,
7759,doubted,10,04｜擴充,,,B 擴充,,,,,
7760,drag,10,04｜擴充,,,B 擴充,,,,,
7761,dramatic,10,04｜擴充,,,B 擴充,,,,,
7762,dreadfully,10,04｜擴充,,,B 擴充,,,,,
7763,dronushka,10,04｜擴充,,,B 擴充,,,,,
7764,drubetskaya,10,04｜擴充,,,B 擴充,,,,,
7765,ducts,10,04｜擴充,,,B 擴充,,,,,
7766,dusk,10,04｜擴充,,,B 擴充,,,,,
7767,earned,10,04｜擴充,,,B 擴充,,,,,
7768,earnest,10,04｜擴充,,,B 擴充,,,,,
7769,earnestly,10,04｜擴充,,,B 擴充,,,,,
7770,eczema,10,04｜擴充,,,B 擴充,,,,,
7771,ejaculated,10,04｜擴充,,,B 擴充,,,,,
7772,elders,10,04｜擴充,,,B 擴充,,,,,
7773,emancipated,10,04｜擴充,,,B 擴充,,,,,
7774,embassy,10,04｜擴充,,,B 擴充,,,,,
7775,embroidered,10,04｜擴充,,,B 擴充,,,,,
7776,emotions,10,04｜擴充,,,B 擴充,,,,,
7777,empyema,10,04｜擴充,,,B 擴充,,,,,
7778,enclosed,10,04｜擴充,,,B 擴充,,,,,
7779,encouraging,10,04｜擴充,,,B 擴充,,,,,
7780,endorsed,10,04｜擴充,,,B 擴充,,,,,
7781,enns,10,04｜擴充,,,B 擴充,,,,,
7782,entertaining,10,04｜擴充,,,B 擴充,,,,,
7783,entity,10,04｜擴充,,,B 擴充,,,,,
7784,equipped,10,04｜擴充,,,B 擴充,,,,,
7785,era,10,04｜擴充,,,B 擴充,,,,,
7786,eusol,10,04｜擴充,,,B 擴充,,,,,
7787,evenings,10,04｜擴充,,,B 擴充,,,,,
7788,excising,10,04｜擴充,,,B 擴充,,,,,
7789,exclamation,10,04｜擴充,,,B 擴充,,,,,
7790,exclusive,10,04｜擴充,,,B 擴充,,,,,
7791,exploring,10,04｜擴充,,,B 擴充,,,,,
7792,eyelids,10,04｜擴充,,,B 擴充,,,,,
7793,facility,10,04｜擴充,,,B 擴充,,,,,
7794,falsehood,10,04｜擴充,,,B 擴充,,,,,
7795,fateful,10,04｜擴充,,,B 擴充,,,,,
7796,favours,10,04｜擴充,,,B 擴充,,,,,
7797,feebly,10,04｜擴充,,,B 擴充,,,,,
7798,feed,10,04｜擴充,v.,餵食,A 基礎必會,動詞,fed,fed,是,
7799,flash,10,04｜擴充,,,B 擴充,,,,,
7800,foes,10,04｜擴充,,,B 擴充,,,,,
7801,folks,10,04｜擴充,,,B 擴充,,,,,
7802,follicles,10,04｜擴充,,,B 擴充,,,,,
7803,forcible,10,04｜擴充,,,B 擴充,,,,,
7804,format,10,04｜擴充,,,B 擴充,,,,,
7805,freeholders,10,04｜擴充,,,B 擴充,,,,,
7806,frieze,10,04｜擴充,,,B 擴充,,,,,
7807,frighten,10,04｜擴充,,,B 擴充,,,,,
7808,fugitive,10,04｜擴充,,,B 擴充,,,,,
7809,furs,10,04｜擴充,,,B 擴充,,,,,
7810,gang,10,04｜擴充,,,B 擴充,,,,,
7811,girth,10,04｜擴充,,,B 擴充,,,,,
7812,glitter,10,04｜擴充,,,B 擴充,,,,,
7813,gluteal,10,04｜擴充,,,B 擴充,,,,,
7814,grating,10,04｜擴充,,,B 擴充,,,,,
7815,greatcoats,10,04｜擴充,,,B 擴充,,,,,
7816,grenville,10,04｜擴充,,,B 擴充,,,,,
7817,guitar,10,04｜擴充,,,B 擴充,,,,,
7818,hardened,10,04｜擴充,,,B 擴充,,,,,
7819,hasten,10,04｜擴充,,,B 擴充,,,,,
7820,hats,10,04｜擴充,,,B 擴充,,,,,
7821,heading,10,04｜擴充,,,B 擴充,,,,,
7822,heir,10,04｜擴充,,,B 擴充,,,,,
7823,hey,10,04｜擴充,,,B 擴充,,,,,
7824,hideous,10,04｜擴充,,,B 擴充,,,,,
7825,hindered,10,04｜擴充,,,B 擴充,,,,,
7826,hm,10,04｜擴充,,,B 擴充,,,,,
7827,horace,10,04｜擴充,,,B 擴充,,,,,
7828,horseback,10,04｜擴充,,,B 擴充,,,,,
7829,horsham,10,04｜擴充,,,B 擴充,,,,,
7830,houston,10,04｜擴充,,,B 擴充,,,,,
7831,hydraulic,10,04｜擴充,,,B 擴充,,,,,
7832,hygroma,10,04｜擴充,,,B 擴充,,,,,
7833,hypertrophied,10,04｜擴充,,,B 擴充,,,,,
7834,hypodermic,10,04｜擴充,,,B 擴充,,,,,
7835,ichthyol,10,04｜擴充,,,B 擴充,,,,,
7836,idiot,10,04｜擴充,,,B 擴充,,,,,
7837,imperialism,10,04｜擴充,,,B 擴充,,,,,
7838,implies,10,04｜擴充,,,B 擴充,,,,,
7839,incoherent,10,04｜擴充,,,B 擴充,,,,,
7840,incurred,10,04｜擴充,,,B 擴充,,,,,
7841,inflammations,10,04｜擴充,,,B 擴充,,,,,
7842,initiated,10,04｜擴充,,,B 擴充,,,,,
7843,innocence,10,04｜擴充,,,B 擴充,,,,,
7844,insist,10,04｜擴充,,,B 擴充,,,,,
7845,insolent,10,04｜擴充,,,B 擴充,,,,,
7846,instructive,10,04｜擴充,,,B 擴充,,,,,
7847,interferes,10,04｜擴充,,,B 擴充,,,,,
7848,intermediate,10,04｜擴充,,,B 擴充,,,,,
7849,interrupting,10,04｜擴充,,,B 擴充,,,,,
7850,intima,10,04｜擴充,,,B 擴充,,,,,
7851,invent,10,04｜擴充,,,B 擴充,,,,,
7852,issuing,10,04｜擴充,,,B 擴充,,,,,
7853,jesting,10,04｜擴充,,,B 擴充,,,,,
7854,jolted,10,04｜擴充,,,B 擴充,,,,,
7855,judged,10,04｜擴充,,,B 擴充,,,,,
7856,karl,10,04｜擴充,,,B 擴充,,,,,
7857,kaysarov,10,04｜擴充,,,B 擴充,,,,,
7858,kindled,10,04｜擴充,,,B 擴充,,,,,
7859,knitting,10,04｜擴充,,,B 擴充,,,,,
7860,labour,10,04｜擴充,,,B 擴充,,,,,
7861,laden,10,04｜擴充,,,B 擴充,,,,,
7862,lasts,10,04｜擴充,,,B 擴充,,,,,
7863,leaped,10,04｜擴充,,,B 擴充,,,,,
7864,liberated,10,04｜擴充,,,B 擴充,,,,,
7865,ligatures,10,04｜擴充,,,B 擴充,,,,,
7866,liquid,10,04｜擴充,,,B 擴充,,,,,
7867,livelihood,10,04｜擴充,,,B 擴充,,,,,
7868,lloyd,10,04｜擴充,,,B 擴充,,,,,
7869,loan,10,04｜擴充,,,B 擴充,,,,,
7870,locomotive,10,04｜擴充,,,B 擴充,,,,,
7871,loops,10,04｜擴充,,,B 擴充,,,,,
7872,loosely,10,04｜擴充,,,B 擴充,,,,,
7873,loyalists,10,04｜擴充,,,B 擴充,,,,,
7874,lucrative,10,04｜擴充,,,B 擴充,,,,,
7875,macewen,10,04｜擴充,,,B 擴充,,,,,
7876,magic,10,04｜擴充,,,B 擴充,,,,,
7877,maintenance,10,04｜擴充,,,B 擴充,,,,,
7878,manifests,10,04｜擴充,,,B 擴充,,,,,
7879,marble,10,04｜擴充,,,B 擴充,,,,,
7880,marches,10,04｜擴充,,,B 擴充,,,,,
7881,masterly,10,04｜擴充,,,B 擴充,,,,,
7882,mcmaster,10,04｜擴充,,,B 擴充,,,,,
7883,meekly,10,04｜擴充,,,B 擴充,,,,,
7884,meningitis,10,04｜擴充,,,B 擴充,,,,,
7885,mess,10,04｜擴充,,,B 擴充,,,,,
7886,mirrors,10,04｜擴充,,,B 擴充,,,,,
7887,misty,10,04｜擴充,,,B 擴充,,,,,
7888,moan,10,04｜擴充,,,B 擴充,,,,,
7889,moderation,10,04｜擴充,,,B 擴充,,,,,
7890,modification,10,04｜擴充,,,B 擴充,,,,,
7891,moisture,10,04｜擴充,,,B 擴充,,,,,
7892,momentum,10,04｜擴充,,,B 擴充,,,,,
7893,monopolies,10,04｜擴充,,,B 擴充,,,,,
7894,mormons,10,04｜擴充,,,B 擴充,,,,,
7895,mounting,10,04｜擴充,,,B 擴充,,,,,
7896,murdered,10,04｜擴充,,,B 擴充,,,,,
7897,myxoma,10,04｜擴充,,,B 擴充,,,,,
7898,naevi,10,04｜擴充,,,B 擴充,,,,,
7899,nationality,10,04｜擴充,,,B 擴充,,,,,
7900,negligence,10,04｜擴充,,,B 擴充,,,,,
7901,ney,10,04｜擴充,,,B 擴充,,,,,
7902,nodule,10,04｜擴充,,,B 擴充,,,,,
7903,noisy,10,04｜擴充,,,B 擴充,,,,,
7904,noting,10,04｜擴充,,,B 擴充,,,,,
7905,nut,10,04｜擴充,,,B 擴充,,,,,
7906,obstructed,10,04｜擴充,,,B 擴充,,,,,
7907,offenders,10,04｜擴充,,,B 擴充,,,,,
7908,ominous,10,04｜擴充,,,B 擴充,,,,,
7909,onychia,10,04｜擴充,,,B 擴充,,,,,
7910,orator,10,04｜擴充,,,B 擴充,,,,,
7911,organised,10,04｜擴充,,,B 擴充,,,,,
7912,originated,10,04｜擴充,,,B 擴充,,,,,
7913,originating,10,04｜擴充,,,B 擴充,,,,,
7914,osteomalacia,10,04｜擴充,,,B 擴充,,,,,
7915,outlook,10,04｜擴充,,,B 擴充,,,,,
7916,outlying,10,04｜擴充,,,B 擴充,,,,,
7917,outstretched,10,04｜擴充,,,B 擴充,,,,,
7918,ovary,10,04｜擴充,,,B 擴充,,,,,
7919,paint,10,04｜擴充,,,B 擴充,,,,,
7920,palmar,10,04｜擴充,,,B 擴充,,,,,
7921,palpable,10,04｜擴充,,,B 擴充,,,,,
7922,paragraphs,10,04｜擴充,,,B 擴充,,,,,
7923,partially,10,04｜擴充,,,B 擴充,,,,,
7924,particles,10,04｜擴充,,,B 擴充,,,,,
7925,patrick,10,04｜擴充,,,B 擴充,,,,,
7926,pectoral,10,04｜擴充,,,B 擴充,,,,,
7927,penalties,10,04｜擴充,,,B 擴充,,,,,
7928,pencil,10,04｜擴充,,,B 擴充,,,,,
7929,penetrated,10,04｜擴充,,,B 擴充,,,,,
7930,peritoneum,10,04｜擴充,,,B 擴充,,,,,
7931,peroxide,10,04｜擴充,,,B 擴充,,,,,
7932,perplexing,10,04｜擴充,,,B 擴充,,,,,
7933,persian,10,04｜擴充,,,B 擴充,,,,,
7934,pittsburgh,10,04｜擴充,,,B 擴充,,,,,
7935,plants,10,04｜擴充,,,B 擴充,,,,,
7936,platforms,10,04｜擴充,,,B 擴充,,,,,
7937,pledge,10,04｜擴充,,,B 擴充,,,,,
7938,plunder,10,04｜擴充,,,B 擴充,,,,,
7939,poetry,10,04｜擴充,,,B 擴充,,,,,
7940,polished,10,04｜擴充,,,B 擴充,,,,,
7941,polls,10,04｜擴充,,,B 擴充,,,,,
7942,porous,10,04｜擴充,,,B 擴充,,,,,
7943,porridge,10,04｜擴充,,,B 擴充,,,,,
7944,postmaster,10,04｜擴充,,,B 擴充,,,,,
7945,preached,10,04｜擴充,,,B 擴充,,,,,
7946,predominate,10,04｜擴充,,,B 擴充,,,,,
7947,preference,10,04｜擴充,,,B 擴充,,,,,
7948,prize,10,04｜擴充,,,B 擴充,,,,,
7949,projected,10,04｜擴充,,,B 擴充,,,,,
7950,prominence,10,04｜擴充,,,B 擴充,,,,,
7951,protopathic,10,04｜擴充,,,B 擴充,,,,,
7952,protoplasm,10,04｜擴充,,,B 擴充,,,,,
7953,puckering,10,04｜擴充,,,B 擴充,,,,,
7954,puritan,10,04｜擴充,,,B 擴充,,,,,
7955,pursuing,10,04｜擴充,,,B 擴充,,,,,
7956,quarreled,10,04｜擴充,,,B 擴充,,,,,
7957,quarrels,10,04｜擴充,,,B 擴充,,,,,
7958,quebec,10,04｜擴充,,,B 擴充,,,,,
7959,rapp,10,04｜擴充,,,B 擴充,,,,,
7960,rapturously,10,04｜擴充,,,B 擴充,,,,,
7961,rd,10,04｜擴充,,,B 擴充,,,,,
7962,reactionary,10,04｜擴充,,,B 擴充,,,,,
7963,rearguard,10,04｜擴充,,,B 擴充,,,,,
7964,reassure,10,04｜擴充,,,B 擴充,,,,,
7965,recommends,10,04｜擴充,,,B 擴充,,,,,
7966,regime,10,04｜擴充,,,B 擴充,,,,,
7967,registered,10,04｜擴充,,,B 擴充,,,,,
7968,reinforcements,10,04｜擴充,,,B 擴充,,,,,
7969,rejoice,10,04｜擴充,,,B 擴充,,,,,
7970,relatives,10,04｜擴充,,,B 擴充,,,,,
7971,relentless,10,04｜擴充,,,B 擴充,,,,,
7972,renewal,10,04｜擴充,,,B 擴充,,,,,
7973,renounce,10,04｜擴充,,,B 擴充,,,,,
7974,repay,10,04｜擴充,,,B 擴充,,,,,
7975,repealed,10,04｜擴充,,,B 擴充,,,,,
7976,repetition,10,04｜擴充,,,B 擴充,,,,,
7977,requisite,10,04｜擴充,,,B 擴充,,,,,
7978,reserves,10,04｜擴充,,,B 擴充,,,,,
7979,resignation,10,04｜擴充,,,B 擴充,,,,,
7980,respectively,10,04｜擴充,,,B 擴充,,,,,
7981,restlessness,10,04｜擴充,,,B 擴充,,,,,
7982,restoring,10,04｜擴充,,,B 擴充,,,,,
7983,resultant,10,04｜擴充,,,B 擴充,,,,,
7984,resumption,10,04｜擴充,,,B 擴充,,,,,
7985,retention,10,04｜擴充,,,B 擴充,,,,,
7986,retiring,10,04｜擴充,,,B 擴充,,,,,
7987,ribbons,10,04｜擴充,,,B 擴充,,,,,
7988,riches,10,04｜擴充,,,B 擴充,,,,,
7989,richest,10,04｜擴充,,,B 擴充,,,,,
7990,rivals,10,04｜擴充,,,B 擴充,,,,,
7991,rod,10,04｜擴充,,,B 擴充,,,,,
7992,ropes,10,04｜擴充,,,B 擴充,,,,,
7993,rug,10,04｜擴充,,,B 擴充,,,,,
7994,rumor,10,04｜擴充,,,B 擴充,,,,,
7995,saddled,10,04｜擴充,,,B 擴充,,,,,
7996,saddles,10,04｜擴充,,,B 擴充,,,,,
7997,sales,10,04｜擴充,,,B 擴充,,,,,
7998,salesman,10,04｜擴充,,,B 擴充,,,,,
7999,santo,10,04｜擴充,,,B 擴充,,,,,
8000,satin,10,04｜擴充,,,B 擴充,,,,,
8001,saturday,10,04｜擴充,,,B 擴充,,,,,
8002,saviour,10,04｜擴充,,,B 擴充,,,,,
8003,scanty,10,04｜擴充,,,B 擴充,,,,,
8004,screwing,10,04｜擴充,,,B 擴充,,,,,
8005,secretly,10,04｜擴充,,,B 擴充,,,,,
8006,sepsis,10,04｜擴充,,,B 擴充,,,,,
8007,seventeen,10,04｜擴充,,,B 擴充,,,,,
8008,severed,10,04｜擴充,,,B 擴充,,,,,
8009,shallow,10,04｜擴充,,,B 擴充,,,,,
8010,shameful,10,04｜擴充,,,B 擴充,,,,,
8011,shamshevo,10,04｜擴充,,,B 擴充,,,,,
8012,shells,10,04｜擴充,,,B 擴充,,,,,
8013,shrank,10,04｜擴充,,,B 擴充,,,,,
8014,shudder,10,04｜擴充,,,B 擴充,,,,,
8015,shuddered,10,04｜擴充,,,B 擴充,,,,,
8016,simpler,10,04｜擴充,,,B 擴充,,,,,
8017,sins,10,04｜擴充,,,B 擴充,,,,,
8018,skiagram,10,04｜擴充,,,B 擴充,,,,,
8019,slippers,10,04｜擴充,,,B 擴充,,,,,
8020,smashed,10,04｜擴充,,,B 擴充,,,,,
8021,smoothed,10,04｜擴充,,,B 擴充,,,,,
8022,softer,10,04｜擴充,,,B 擴充,,,,,
8023,sparks,10,04｜擴充,,,B 擴充,,,,,
8024,spindle,10,04｜擴充,,,B 擴充,,,,,
8025,spoil,10,04｜擴充,,,B 擴充,,,,,
8026,staples,10,04｜擴充,,,B 擴充,,,,,
8027,stark,10,04｜擴充,,,B 擴充,,,,,
8028,statehood,10,04｜擴充,,,B 擴充,,,,,
8029,statesman,10,04｜擴充,,,B 擴充,,,,,
8030,stations,10,04｜擴充,,,B 擴充,,,,,
8031,stimulus,10,04｜擴充,,,B 擴充,,,,,
8032,stress,10,04｜擴充,n.,壓力,B 中高級核心,名詞,—,—,—,
8033,stricken,10,04｜擴充,,,B 擴充,,,,,
8034,strode,10,04｜擴充,,,B 擴充,,,,,
8035,structural,10,04｜擴充,,,B 擴充,,,,,
8036,strychnin,10,04｜擴充,,,B 擴充,,,,,
8037,sturdy,10,04｜擴充,,,B 擴充,,,,,
8038,subdued,10,04｜擴充,,,B 擴充,,,,,
8039,submissive,10,04｜擴充,,,B 擴充,,,,,
8040,subordinate,10,04｜擴充,,,B 擴充,,,,,
8041,subsides,10,04｜擴充,,,B 擴充,,,,,
8042,successes,10,04｜擴充,,,B 擴充,,,,,
8043,suggests,10,04｜擴充,,,B 擴充,,,,,
8044,suicide,10,04｜擴充,,,B 擴充,,,,,
8045,sunken,10,04｜擴充,,,B 擴充,,,,,
8046,sunlight,10,04｜擴充,,,B 擴充,,,,,
8047,superfluous,10,04｜擴充,,,B 擴充,,,,,
8048,supporters,10,04｜擴充,,,B 擴充,,,,,
8049,survey,10,04｜擴充,,,B 擴充,,,,,
8050,swallowed,10,04｜擴充,,,B 擴充,,,,,
8051,swords,10,04｜擴充,,,B 擴充,,,,,
8052,syringe,10,04｜擴充,,,B 擴充,,,,,
8053,tap,10,04｜擴充,,,B 擴充,,,,,
8054,tapped,10,04｜擴充,,,B 擴充,,,,,
8055,tartar,10,04｜擴充,,,B 擴充,,,,,
8056,teacher,10,04｜擴充,n.,老師,B 中高級核心,名詞,—,—,—,
8057,temptation,10,04｜擴充,,,B 擴充,,,,,
8058,textile,10,04｜擴充,,,B 擴充,,,,,
8059,thence,10,04｜擴充,,,B 擴充,,,,,
8060,thinner,10,04｜擴充,,,B 擴充,,,,,
8061,threaten,10,04｜擴充,,,B 擴充,,,,,
8062,threateningly,10,04｜擴充,,,B 擴充,,,,,
8063,thud,10,04｜擴充,,,B 擴充,,,,,
8064,tibial,10,04｜擴充,,,B 擴充,,,,,
8065,tortured,10,04｜擴充,,,B 擴充,,,,,
8066,trampled,10,04｜擴充,,,B 擴充,,,,,
8067,transference,10,04｜擴充,,,B 擴充,,,,,
8068,trauma,10,04｜擴充,,,B 擴充,,,,,
8069,tremendous,10,04｜擴充,,,B 擴充,,,,,
8070,tropical,10,04｜擴充,,,B 擴充,,,,,
8071,troublesome,10,04｜擴充,,,B 擴充,,,,,
8072,turmoil,10,04｜擴充,,,B 擴充,,,,,
8073,twisting,10,04｜擴充,,,B 擴充,,,,,
8074,ulcerate,10,04｜擴充,,,B 擴充,,,,,
8075,unanimous,10,04｜擴充,,,B 擴充,,,,,
8076,unavoidable,10,04｜擴充,,,B 擴充,,,,,
8077,undoubted,10,04｜擴充,,,B 擴充,,,,,
8078,unfair,10,04｜擴充,,,B 擴充,,,,,
8079,unit,10,04｜擴充,n.,單位；單元,B 中高級核心,名詞,—,—,—,
8080,unjust,10,04｜擴充,,,B 擴充,,,,,
8081,unlawful,10,04｜擴充,,,B 擴充,,,,,
8082,unsatisfactory,10,04｜擴充,,,B 擴充,,,,,
8083,urge,10,04｜擴充,,,B 擴充,,,,,
8084,usage,10,04｜擴充,,,B 擴充,,,,,
8085,utilities,10,04｜擴充,,,B 擴充,,,,,
8086,vacancy,10,04｜擴充,,,B 擴充,,,,,
8087,vacant,10,04｜擴充,,,B 擴充,,,,,
8088,valid,10,04｜擴充,,,B 擴充,,,,,
8089,vanquished,10,04｜擴充,,,B 擴充,,,,,
8090,vasilich,10,04｜擴充,,,B 擴充,,,,,
8091,version,10,04｜擴充,n.,版本,B 中高級核心,名詞,—,—,—,
8092,vincent,10,04｜擴充,,,B 擴充,,,,,
8093,vladimirovich,10,04｜擴充,,,B 擴充,,,,,
8094,walks,10,04｜擴充,,,B 擴充,,,,,
8095,wander,10,04｜擴充,,,B 擴充,,,,,
8096,warlike,10,04｜擴充,,,B 擴充,,,,,
8097,weighed,10,04｜擴充,,,B 擴充,,,,,
8098,whitney,10,04｜擴充,,,B 擴充,,,,,
8099,widow,10,04｜擴充,,,B 擴充,,,,,
8100,wings,10,04｜擴充,,,B 擴充,,,,,
8101,winking,10,04｜擴充,,,B 擴充,,,,,
8102,wont,10,04｜擴充,,,B 擴充,,,,,
8103,worry,10,04｜擴充,n.,擔心,B 中高級核心,名詞,—,—,—,
8104,xxii,10,04｜擴充,,,B 擴充,,,,,
8105,yourselves,10,04｜擴充,,,B 擴充,,,,,
8106,abolish,9,04｜擴充,,,B 擴充,,,,,
8107,abominable,9,04｜擴充,,,B 擴充,,,,,
8108,abrupt,9,04｜擴充,,,B 擴充,,,,,
8109,achieved,9,04｜擴充,,,B 擴充,,,,,
8110,actinomyces,9,04｜擴充,,,B 擴充,,,,,
8111,adapted,9,04｜擴充,,,B 擴充,,,,,
8112,adds,9,04｜擴充,,,B 擴充,,,,,
8113,adequate,9,04｜擴充,adj.,足夠的；適當的,A 基礎必會,形容詞,—,—,—,
8114,administrations,9,04｜擴充,,,B 擴充,,,,,
8115,admits,9,04｜擴充,,,B 擴充,,,,,
8116,adverse,9,04｜擴充,,,B 擴充,,,,,
8117,afferent,9,04｜擴充,,,B 擴充,,,,,
8118,affords,9,04｜擴充,,,B 擴充,,,,,
8119,aggressive,9,04｜擴充,,,B 擴充,,,,,
8120,alexis,9,04｜擴充,,,B 擴充,,,,,
8121,allows,9,04｜擴充,,,B 擴充,,,,,
8122,amongst,9,04｜擴充,,,B 擴充,,,,,
8123,ample,9,04｜擴充,,,B 擴充,,,,,
8124,annoyed,9,04｜擴充,,,B 擴充,,,,,
8125,annually,9,04｜擴充,,,B 擴充,,,,,
8126,anus,9,04｜擴充,,,B 擴充,,,,,
8127,appalachians,9,04｜擴充,,,B 擴充,,,,,
8128,appliances,9,04｜擴充,,,B 擴充,,,,,
8129,arousing,9,04｜擴充,,,B 擴充,,,,,
8130,arteritis,9,04｜擴充,,,B 擴充,,,,,
8131,assent,9,04｜擴充,,,B 擴充,,,,,
8132,astronomy,9,04｜擴充,,,B 擴充,,,,,
8133,attains,9,04｜擴充,,,B 擴充,,,,,
8134,attentions,9,04｜擴充,,,B 擴充,,,,,
8135,attenuated,9,04｜擴充,,,B 擴充,,,,,
8136,avulsion,9,04｜擴充,,,B 擴充,,,,,
8137,awkwardness,9,04｜擴充,,,B 擴充,,,,,
8138,backs,9,04｜擴充,,,B 擴充,,,,,
8139,balloon,9,04｜擴充,,,B 擴充,,,,,
8140,bankers,9,04｜擴充,,,B 擴充,,,,,
8141,banner,9,04｜擴充,,,B 擴充,,,,,
8142,bark,9,04｜擴充,,,B 擴充,,,,,
8143,beams,9,04｜擴充,,,B 擴充,,,,,
8144,bearers,9,04｜擴充,,,B 擴充,,,,,
8145,bedstead,9,04｜擴充,,,B 擴充,,,,,
8146,beer,9,04｜擴充,,,B 擴充,,,,,
8147,bilateral,9,04｜擴充,,,B 擴充,,,,,
8148,birches,9,04｜擴充,,,B 擴充,,,,,
8149,biting,9,04｜擴充,,,B 擴充,,,,,
8150,blandly,9,04｜擴充,,,B 擴充,,,,,
8151,blissful,9,04｜擴充,,,B 擴充,,,,,
8152,blonde,9,04｜擴充,,,B 擴充,,,,,
8153,bloodless,9,04｜擴充,,,B 擴充,,,,,
